6.25,,Mark MCKOY,10 DEC 1961,CAN,Kobe (JPN),05 MAR 1986
7.29 *,,Grant HOLLOWAY,19 NOV 1997,USA,?tark Arena* Beograd (SRB),20 MAR 2022
7.29,,Grant HOLLOWAY,19 NOV 1997,USA,Gallur* Madrid (ESP),24 FEB 2021
7.30,,Colin JACKSON,18 FEB 1967,GBR,Sindelfingen (GER),06 MAR 1994
7.36,,Colin JACKSON,18 FEB 1967,GBR,Glasgow (GBR),12 FEB 1994
7.36,,Greg FOSTER,04 AUG 1958,USA,Los Angeles* CA (USA),16 JAN 1987
7.29 *,,Grant HOLLOWAY,19 NOV 1997,USA,?tark Arena* Beograd (SRB),20 MAR 2022
7.29,,Grant HOLLOWAY,19 NOV 1997,USA,Gallur* Madrid (ESP),24 FEB 2021
7.30,,Colin JACKSON,18 FEB 1967,GBR,Sindelfingen (GER),06 MAR 1994
7.36,,Colin JACKSON,18 FEB 1967,GBR,Glasgow (GBR),12 FEB 1994
7.36,,Greg FOSTER,04 AUG 1958,USA,Los Angeles* CA (USA),16 JAN 1987
2.43,,Javier SOTOMAYOR,13 OCT 1967,CUB,Budapest Sportcsarnok* Budapest (HUN),04 MAR 1989
2.42,,Carlo THR?NHARDT,05 JUL 1957,FRG,Berlin (GER),26 FEB 1988
2.41,,Patrik SJ?BERG,05 JAN 1965,SWE,Pireaus* Athina (GRE),01 FEB 1987
6.20 *,,Armand DUPLANTIS,10 NOV 1999,SWE,?tark Arena* Beograd (SRB),20 MAR 2022
6.19 *,,Armand DUPLANTIS,10 NOV 1999,SWE,?tark Arena* Beograd (SRB),07 MAR 2022
6.18,,Armand DUPLANTIS,10 NOV 1999,SWE,Emirates Arena* Glasgow (GBR),15 FEB 2020
6.17,,Armand DUPLANTIS,10 NOV 1999,SWE,Arena* Toru? (POL),08 FEB 2020
6.16,,Renaud LAVILLENIE,18 SEP 1986,FRA,Donetsk (UKR),15 FEB 2014
6.15,,Sergey BUBKA,04 DEC 1963,UKR,Donetsk (UKR),21 FEB 1993
6.14,,Sergey BUBKA,04 DEC 1963,UKR,Li?vin (FRA),13 FEB 1993
6.13,,Sergey BUBKA,04 DEC 1963,UKR,Berlin (GER),21 FEB 1992
6.12,,Sergey BUBKA,04 DEC 1963,URS,Grenoble (FRA),23 MAR 1991
6.11,,Sergey BUBKA,04 DEC 1963,URS,Donetsk (URS),19 MAR 1991
6.10,,Sergey BUBKA,04 DEC 1963,URS,San Sebasti?n (ESP),15 MAR 1991
6.08,,Sergey BUBKA,04 DEC 1963,URS,Volgograd (URS),09 FEB 1991
6.05,,Sergey BUBKA,04 DEC 1963,URS,Donetsk (URS),17 MAR 1990
6.03,,Sergey BUBKA,04 DEC 1963,URS,Osaka (JPN),11 FEB 1989
6.02,,Rodion GATAULLIN,23 NOV 1965,URS,Gomel (BLR),04 FEB 1989
6.00,,Rodion GATAULLIN,23 NOV 1965,URS,Leningrad (URS),22 JAN 1989
5.97,,Sergey BUBKA,04 DEC 1963,URS,Torino (ITA),17 MAR 1987
6.20 *,,Armand DUPLANTIS,10 NOV 1999,SWE,?tark Arena* Beograd (SRB),20 MAR 2022
6.19 *,,Armand DUPLANTIS,10 NOV 1999,SWE,?tark Arena* Beograd (SRB),07 MAR 2022
6.18,,Armand DUPLANTIS,10 NOV 1999,SWE,Emirates Arena* Glasgow (GBR),15 FEB 2020
6.17,,Armand DUPLANTIS,10 NOV 1999,SWE,Arena* Toru? (POL),08 FEB 2020
6.16,,Renaud LAVILLENIE,18 SEP 1986,FRA,Donetsk (UKR),15 FEB 2014
6.15,,Sergey BUBKA,04 DEC 1963,UKR,Donetsk (UKR),21 FEB 1993
6.14,,Sergey BUBKA,04 DEC 1963,UKR,Li?vin (FRA),13 FEB 1993
6.13,,Sergey BUBKA,04 DEC 1963,UKR,Berlin (GER),21 FEB 1992
6.12,,Sergey BUBKA,04 DEC 1963,URS,Grenoble (FRA),23 MAR 1991
6.11,,Sergey BUBKA,04 DEC 1963,URS,Donetsk (URS),19 MAR 1991
6.10,,Sergey BUBKA,04 DEC 1963,URS,San Sebasti?n (ESP),15 MAR 1991
6.08,,Sergey BUBKA,04 DEC 1963,URS,Volgograd (URS),09 FEB 1991
6.05,,Sergey BUBKA,04 DEC 1963,URS,Donetsk (URS),17 MAR 1990
6.03,,Sergey BUBKA,04 DEC 1963,URS,Osaka (JPN),11 FEB 1989
6.02,,Rodion GATAULLIN,23 NOV 1965,URS,Gomel (BLR),04 FEB 1989
6.00,,Rodion GATAULLIN,23 NOV 1965,URS,Leningrad (URS),22 JAN 1989
5.97,,Sergey BUBKA,04 DEC 1963,URS,Torino (ITA),17 MAR 1987
6.20 *,,Armand DUPLANTIS,10 NOV 1999,SWE,?tark Arena* Beograd (SRB),20 MAR 2022
6.19 *,,Armand DUPLANTIS,10 NOV 1999,SWE,?tark Arena* Beograd (SRB),07 MAR 2022
6.18,,Armand DUPLANTIS,10 NOV 1999,SWE,Emirates Arena* Glasgow (GBR),15 FEB 2020
6.17,,Armand DUPLANTIS,10 NOV 1999,SWE,Arena* Toru? (POL),08 FEB 2020
6.16,,Renaud LAVILLENIE,18 SEP 1986,FRA,Donetsk (UKR),15 FEB 2014
6.15,,Sergey BUBKA,04 DEC 1963,UKR,Donetsk (UKR),21 FEB 1993
6.14,,Sergey BUBKA,04 DEC 1963,UKR,Li?vin (FRA),13 FEB 1993
6.13,,Sergey BUBKA,04 DEC 1963,UKR,Berlin (GER),21 FEB 1992
6.12,,Sergey BUBKA,04 DEC 1963,URS,Grenoble (FRA),23 MAR 1991
6.11,,Sergey BUBKA,04 DEC 1963,URS,Donetsk (URS),19 MAR 1991
6.10,,Sergey BUBKA,04 DEC 1963,URS,San Sebasti?n (ESP),15 MAR 1991
6.08,,Sergey BUBKA,04 DEC 1963,URS,Volgograd (URS),09 FEB 1991
6.05,,Sergey BUBKA,04 DEC 1963,URS,Donetsk (URS),17 MAR 1990
6.03,,Sergey BUBKA,04 DEC 1963,URS,Osaka (JPN),11 FEB 1989
6.02,,Rodion GATAULLIN,23 NOV 1965,URS,Gomel (BLR),04 FEB 1989
6.00,,Rodion GATAULLIN,23 NOV 1965,URS,Leningrad (URS),22 JAN 1989
5.97,,Sergey BUBKA,04 DEC 1963,URS,Torino (ITA),17 MAR 1987
8.79,,Carl LEWIS,01 JUL 1961,USA,New York* NY (USA),27 JAN 1984
18.07,,Hugues Fabrice ZANGO,25 JUN 1993,BUR,Stadium Jean-Pellez* Aubi?re (FRA),16 JAN 2021
17.92,,Teddy TAMGHO,15 JUN 1989,FRA,Palais Omnisports de Paris-Bercy* Paris (FRA),06 MAR 2011
17.92,,Teddy TAMGHO,15 JUN 1989,FRA,Palais Omnisports de Paris-Bercy* Paris (FRA),06 MAR 2011
17.91,,Teddy TAMGHO,15 JUN 1989,FRA,Aubi?re (FRA),20 FEB 2011
17.90,,Teddy TAMGHO,15 JUN 1989,FRA,Aspire Dome* Doha (QAT),14 MAR 2010
17.83,,Christian OLSSON,25 JAN 1980,SWE,Sportar?na* Budapest (HUN),07 MAR 2004
17.83,,Aliecer URRUTIA,22 SEP 1974,CUB,Sindelfingen (GER),01 MAR 1997
17.77,,Leonid VOLOSHIN,30 MAR 1966,RUS,Grenoble (FRA),06 FEB 1994
17.76,,Mike CONLEY,05 OCT 1962,USA,New York* NY (USA),27 FEB 1987
22.82,,Ryan CROUSER,18 DEC 1992,USA,Randal Tyson Indoor Center* Fayetteville* AR (USA),24 JAN 2021
22.66,,Randy BARNES,16 JUN 1966,USA,Los Angeles* CA (USA),20 JAN 1989
22.26,,Werner G?NTH?R,01 JUN 1961,SUI,Magglingen (SUI),08 FEB 1987
6645,,Ashton EATON,21 JAN 1988,USA,Atak?y Arena* Istanbul (TUR),10 MAR 2012
6568,,Ashton EATON,21 JAN 1988,USA,Tallinn (EST),06 FEB 2011
6499,,Ashton EATON,21 JAN 1988,USA,Fayetteville* AR (USA),13 MAR 2010
6476,,Dan O'BRIEN,18 JUL 1966,USA,The Sky Dome* Toronto (CAN),14 MAR 1993
6418,,Christian PLAZIAT,28 OCT 1963,FRA,Palazzo dello Sport* Genova (ITA),29 FEB 1992
6289,,Christian PLAZIAT,28 OCT 1963,FRA,Nogent-sur-Oise (FRA),02 FEB 1992
6273,,Christian PLAZIAT,28 OCT 1963,FRA,Nogent-sur-Oise (FRA),11 FEB 1990
18:07.08,,Mikhail SHCHENNIKOV,24 DEC 1967,RUS,Moskva (RUS),14 FEB 1995
18:15.25,,Grigoriy KORNEV,14 MAR 1961,RUS,Moskva (RUS),07 FEB 1992
18:23.10,,Grigoriy KORNEV,14 MAR 1961,RUS,Moskva (RUS),02 FEB 1992
18:23.55,,Mikhail SHCHENNIKOV,24 DEC 1967,URS,Palacio de los Deportes* Sevilla (ESP),10 MAR 1991
18:23.88,,Frants KOSTYUKEVICH,04 APR 1963,URS,Volgograd (URS),09 FEB 1991
18:27.10,,Mikhail SHCHENNIKOV,24 DEC 1967,URS,Budapest Sportcsarnok* Budapest (HUN),05 MAR 1989
18:27.79,,Mikhail SHCHENNIKOV,24 DEC 1967,URS,Hoosier Dome* Indianapolis* IN (USA),07 MAR 1987
1:22.11,,Great Britain & NI,,GBR,Glasgow (GBR),03 MAR 1991
1:22.32,,Italy,,ITA,Torino (ITA),11 FEB 1984
3:01.51,,Houston,,USA,Clemson* SC (USA),09 FEB 2019
3:01.77,,Poland,,POL,Arena Birmingham* Birmingham (GBR),04 MAR 2018
3:02.13,,United States,,USA,Ergo Arena* Sopot (POL),09 MAR 2014
3:02.83,,United States,,USA,Green Dome* Maebashi (JPN),07 MAR 1999
3:03.05,,Germany,,GER,Palacio de los Deportes* Sevilla (ESP),10 MAR 1991
3:05.21,,United States,,USA,Glasgow (GBR),10 MAR 1989
3:05.9h,,Soviet Union,,URS,Stadthalle* Wien (AUT),14 MAR 1970
